,Fecha,Sigla Empresa,Nombre Empresa,Trafico,Origen,Destino,Pasajeros,TipoVuelo,CargaKg,CorreoKg,Ciudad Origen,Ciudad Destino,Pais Origen,Pais Destino,Apto_Origen,Apto_Destino
36,2018-01-01,AAL,AMERICAN,I,BOG,ABQ,28.0,R,0.0,0.0,BOGOTA,NUEVO MEXICO,COLOMBIA,ESTADOS UNIDOS,BOGOTA - ELDORADO,ALBUQUERQUE INTL SUNPORT
37,2018-01-01,AAL,AMERICAN,I,BOG,AMS,22.0,R,0.0,0.0,BOGOTA,AMSTERDAM,COLOMBIA,HOLANDA,BOGOTA - ELDORADO,SCHIPHOL
38,2018-01-01,AAL,AMERICAN,I,BOG,ATL,83.0,R,0.0,0.0,BOGOTA,ATLANTA,COLOMBIA,ESTADOS UNIDOS,BOGOTA - ELDORADO,HARTSFIELD JACKSON ATLANTA INTL
39,2018-01-01,AAL,AMERICAN,I,BOG,AUS,28.0,R,0.0,0.0,BOGOTA,TEXAS,COLOMBIA,ESTADOS UNIDOS,BOGOTA - ELDORADO,AUSTIN/ROBERT/MUELLER MUNICIPA
40,2018-01-01,AAL,AMERICAN,I,BOG,BCN,27.0,R,0.0,0.0,BOGOTA,BARCELONA,COLOMBIA,ESPANA,BOGOTA - ELDORADO,BARCELONA
41,2018-01-01,AAL,AMERICAN,I,BOG,BGI,23.0,R,0.0,0.0,BOGOTA,BRIDGENTOWN,COLOMBIA,BARBADOS,BOGOTA - ELDORADO,GRANTLEY ADAMS INTL
42,2018-01-01,AAL,AMERICAN,I,BOG,BHM,2.0,R,0.0,0.0,BOGOTA,ALABAMA,COLOMBIA,ESTADOS UNIDOS,BOGOTA - ELDORADO,BIRMINGHAM INTL
43,2018-01-01,AAL,AMERICAN,I,BOG,BIO,0.0,R,153.0,0.0,BOGOTA,BILBAO,COLOMBIA,ESPANA,BOGOTA - ELDORADO,BILBAO
44,2018-01-01,AAL,AMERICAN,I,BOG,BMI,2.0,R,0.0,0.0,BOGOTA,ILLINOIS,COLOMBIA,ESTADOS UNIDOS,BOGOTA - ELDORADO,NORMAL
45,2018-01-01,AAL,AMERICAN,I,BOG,BOS,117.0,R,0.0,0.0,BOGOTA,BOSTON,COLOMBIA,ESTADOS UNIDOS,BOGOTA - ELDORADO,GEN.EDWARD L.LOGAN
46,2018-01-01,AAL,AMERICAN,I,BOG,BSB,41.0,R,0.0,0.0,BOGOTA,BRASILIA,COLOMBIA,BRASIL,BOGOTA - ELDORADO,PRESIDENTE JUSCELINO KUBITSCHEK
47,2018-01-01,AAL,AMERICAN,I,BOG,CCS,4.0,R,0.0,0.0,BOGOTA,CARACAS,COLOMBIA,VENEZUELA,BOGOTA - ELDORADO,SIMON BOLIVAR INTL
48,2018-01-01,AAL,AMERICAN,I,BOG,CDG,11.0,R,8.0,0.0,BOGOTA,PARIS,COLOMBIA,FRANCIA,BOGOTA - ELDORADO,CHARLES DE GAULLE
49,2018-01-01,AAL,AMERICAN,I,BOG,CHS,15.0,R,0.0,0.0,BOGOTA,CHARLESTON,COLOMBIA,ESTADOS UNIDOS,BOGOTA - ELDORADO,CHARLESTON AFB INTL
50,2018-01-01,AAL,AMERICAN,I,BOG,CID,25.0,R,0.0,0.0,BOGOTA,SAUL STE,COLOMBIA,ESTADOS UNIDOS,BOGOTA - ELDORADO,CHIPPEWA CO INTL
51,2018-01-01,AAL,AMERICAN,I,BOG,CLT,22.0,R,0.0,0.0,BOGOTA,NORTE DE CAROLINA,COLOMBIA,ESTADOS UNIDOS,BOGOTA - ELDORADO,CHARLOTTE DOUGLAS INTL
52,2018-01-01,AAL,AMERICAN,I,BOG,CMH,2.0,R,0.0,0.0,BOGOTA,OHIO,COLOMBIA,ESTADOS UNIDOS,BOGOTA - ELDORADO,PORT COLUMBUS INTERNATIONAL
53,2018-01-01,AAL,AMERICAN,I,BOG,COS,5.0,R,0.0,0.0,BOGOTA,COLORADO,COLOMBIA,ESTADOS UNIDOS,BOGOTA - ELDORADO,COLORADO SPRINGS MUNICIPAL
54,2018-01-01,AAL,AMERICAN,I,BOG,CUN,3.0,R,0.0,0.0,BOGOTA,CANCUN,COLOMBIA,MEXICO,BOGOTA - ELDORADO,CANCUN INTL
55,2018-01-01,AAL,AMERICAN,I,BOG,CUR,10.0,R,0.0,0.0,BOGOTA,CURACAO,COLOMBIA,ANTILLAS HOLANDESAS,BOGOTA - ELDORADO,HATO
56,2018-01-01,AAL,AMERICAN,I,BOG,CVG,196.0,R,0.0,0.0,BOGOTA,CINCINATTI,COLOMBIA,ESTADOS UNIDOS,BOGOTA - ELDORADO,COVINGTON - CINCINNATI
57,2018-01-01,AAL,AMERICAN,I,BOG,DEN,60.0,R,0.0,0.0,BOGOTA,COLORADO,COLOMBIA,ESTADOS UNIDOS,BOGOTA - ELDORADO,STAPLETON  INT
58,2018-01-01,AAL,AMERICAN,I,BOG,DFW,1996.0,R,13791.0,0.0,BOGOTA,DALAS,COLOMBIA,ESTADOS UNIDOS,BOGOTA - ELDORADO,DALLAS
59,2018-01-01,AAL,AMERICAN,I,BOG,DTW,16.0,R,0.0,0.0,BOGOTA,DETROIT,COLOMBIA,ESTADOS UNIDOS,BOGOTA - ELDORADO,WAYNE COUNTY
60,2018-01-01,AAL,AMERICAN,I,BOG,DUB,2.0,R,0.0,0.0,BOGOTA,DUBLIN,COLOMBIA,IRLANDA,BOGOTA - ELDORADO,DUBLIN
61,2018-01-01,AAL,AMERICAN,I,BOG,DXB,4.0,R,0.0,0.0,BOGOTA,DUBAI,COLOMBIA,EMIRATOS ARABE,BOGOTA - ELDORADO,INTERNATIONAL DUBAI
62,2018-01-01,AAL,AMERICAN,I,BOG,EWR,91.0,R,0.0,0.0,BOGOTA,NEW YORK,COLOMBIA,ESTADOS UNIDOS,BOGOTA - ELDORADO,NEWARK LIBERTY INTL
63,2018-01-01,AAL,AMERICAN,I,BOG,EYW,2.0,R,0.0,0.0,BOGOTA,FLORIDA,COLOMBIA,ESTADOS UNIDOS,BOGOTA - ELDORADO,KEY WEST INTL
64,2018-01-01,AAL,AMERICAN,I,BOG,FAT,5.0,R,0.0,0.0,BOGOTA,FRESNO YOSEMITE,COLOMBIA,ESTADOS UNIDOS,BOGOTA - ELDORADO,FRESNO YOSEMITE INTL
65,2018-01-01,AAL,AMERICAN,I,BOG,FPO,7.0,R,0.0,0.0,BOGOTA,PARIS,COLOMBIA,FRANCIA,BOGOTA - ELDORADO,ORLY
